Date,RmRf,USRECM,Delta_LN_IP,VIXCLS,VXOCLS,EPU_3_Comp,Overall EMV Tracker,Policy-Related EMV Tracker,Geopolitical Risk Index,TEDRATE,US Disaster Probability,T10Y2Y
200106,-1.94,1,-0.005995802,19.06,21.63,86.39027405,17.0623,8.18,47.44480044,0.27,0.04,1.312
200107,-2.13,1,-0.005730158,21.62,23.87,102.1318512,22.3187,12.43,35.37024234,0.21,0.05,1.405
200108,-6.46,1,-0.001240511,24.92,27.85,84.28912354,19.9697,10.01,33.32806945,0.16,0.08,1.39
200109,-9.25,1,-0.003831523,31.93,35.19,188.059494,42.4329,24.28,307.53345,0.24,0.12,2.01
200110,2.46,1,-0.004360801,33.56,35.28,173.1433716,29.338,16.61,357.609996,0.19,0.13,2.094
200111,7.54,1,-0.004911333,23.84,26.14,130.5756378,26.3987,14.03,195.30971,0.28,0.08,2.189
200112,1.6,0,0.000235368,23.8,22.02,117.2365875,24.3586,12.76,163.4701425,0.17,0.07,2.259
200201,-1.44,0,0.006301143,21.09,22.84,116.8374557,28.6519,15.96,123.4293672,0.15,0.06,2.138
200202,-2.29,0,-0.000264639,21.59,23.13,87.60068512,24.8472,13.38,112.1220529,0.14,0.06,2.093
200203,4.24,0,0.008123497,17.4,19.25,83.44042969,17.7728,8.67,129.8371277,0.27,0.03,1.936
200204,-5.2,0,0.004121216,21.91,23.51,88.56610107,20.0872,9.94,123.9191006,0.18,0.05,2.077
200205,-1.38,0,0.004218819,19.98,22.8,86.29885864,18.9165,9.08,155.5093034,0.19,0.05,2.074
200206,-7.21,0,0.009470305,25.4,29.13,93.61022186,24.7997,13.33,177.9349337,0.19,0.07,2.251
200207,-8.18,0,-0.00239887,32.03,35.21,110.3051682,51.5904,27.88,110.3024087,0.14,0.11,2.559
200208,0.5,0,0.000130859,32.64,35.8,116.0148239,39.4828,21,139.6003048,0.15,0.15,2.334
200209,-10.35,0,0.001387986,39.69,44.57,124.0431442,31.9693,17.53,315.439539,0.25,0.21,2.27
200210,7.84,0,-0.003024961,31.14,35.91,111.8859711,31.464,16.67,268.5770151,0.27,0.12,2.585
200211,5.96,0,0.005206473,27.5,31.08,123.2843781,23.5922,13.18,214.3615228,0.23,0.1,2.424
200212,-5.76,0,-0.004917526,28.62,32.03,122.2216721,24.4789,13.68,213.3184788,0.18,0.13,2.544
200301,-2.57,0,0.007591109,31.17,35.78,138.9533997,26.3392,14.52,328.375322,0.19,0.15,2.569
200302,-1.88,0,0.001420865,29.63,34.15,126.7277374,22.7293,12.13,520.1237108,0.16,0.12,2.447
200303,1.09,0,-0.002316599,29.15,33.37,163.5238037,30.034,15.69,545.0936711,0.16,0.11,2.614
200304,8.22,0,-0.007174491,21.21,23.77,135.6275482,25.4525,13.72,257.4963899,0.2,0.05,2.64
200305,6.05,0,0.000280408,19.47,21.7,102.6198196,20.7054,11.17,142.2805752,0.19,0.05,2.311
200306,1.42,0,0.001672218,19.52,21.62,95.82730103,20.106,11.4,104.4388946,0.23,0.04,2.496
200307,2.35,0,0.004393664,19.49,21.24,91.74150848,20.6858,10.98,85.72366248,0.17,0.04,3.002
200308,2.34,0,-0.001427482,18.63,19.49,95.67181396,17.6541,9.5,96.16943045,0.18,0.05,2.773
200309,-1.24,0,0.005868896,22.72,23.77,106.1157608,15.3803,7.74,88.94529643,0.23,0.07,2.763
200310,6.08,0,0.001410643,16.1,17.15,88.0437851,14.8485,7.46,74.79335004,0.23,0.02,2.727
200311,1.35,0,0.007675764,16.32,16.71,84.91823578,12.0793,6.7,77.15381838,0.26,0.03,2.492
200312,4.29,0,-0.000712329,18.31,17.51,91.73699188,15.0023,7.76,120.2400826,0.22,0.02,2.66
200401,2.15,0,0.002550867,16.63,17.05,96.56645966,16.8634,9.51,92.5699788,0.23,0.025677129,2.6128
200402,1.4,0,0.006040066,14.55,14.76,99.45729828,12.7306,7.61,82.68060964,0.18,0.02063852,2.6294
200403,-1.32,0,-0.004986037,16.74,16.73,96.78946686,15.0431,7.6,129.5538444,0.18,0.035867953,2.559
200404,-1.83,0,0.004503084,17.19,17.56,94.11528015,16.6459,8.19,154.6760366,0.22,0.038979998,2.476
200405,1.17,0,0.007895473,15.5,15.82,92.32118225,16.6206,7.97,101.5265568,0.25,0.029109763,2.3904
200406,1.86,0,-0.008278237,14.34,13.99,85.34597778,14.7782,7.07,101.5840726,0.3,0.023881817,2.1759
200407,-4.06,0,0.007675337,15.32,15.4,87.54418945,17.4898,8.48,108.0478172,0.28,0.034034929,2.0706
200408,0.08,0,0.000736713,15.29,14.98,85.92586517,15.6857,7.99,143.3405452,0.23,0.027640927,2.0036
200409,1.6,0,0.000841886,13.34,13.44,100.0118866,14.3007,7.45,115.6760405,0.34,0.016089941,1.7638
200410,1.43,0,0.009476085,16.27,16.57,105.6951141,15.5167,8.01,92.0178973,0.3,0.018301626,1.7304
200411,4.54,0,0.002095137,13.24,13.54,95.24085236,13.9289,7.22,81.04080239,0.22,0.005248837,1.5376
200412,3.43,0,0.007329622,13.29,13.58,77.59643555,17.0077,8.94,74.74236107,0.38,0.002898485,1.3417
200501,-2.76,0,0.004593236,12.82,12.37,73.91847992,17.3482,8.88,63.22701201,0.27,0,1.0143
200502,1.89,0,0.006854054,12.08,11.86,58.95005035,13.9906,7.94,74.63203466,0.2,0,0.8887
200503,-1.97,0,-0.001587765,14.02,13.62,57.5579567,14.5699,8.01,60.90534614,0.39,0.002125,0.8176
200504,-2.61,0,0.001683273,15.31,15.18,74.56597137,18.8654,9.3,57.6043707,0.37,0.011960371,0.6714
200505,3.65,0,0.001305025,13.29,12.5,70.50811768,16.5387,7.89,49.67035267,0.41,0.010590896,0.5195
200506,0.57,0,0.003827879,12.04,11.35,74.56132507,16.7238,8.01,54.62715508,0.46,0.002720214,0.3875
200507,3.92,0,-0.003166473,11.57,11.07,68.71644592,13.6226,6.78,129.3733454,0.36,0,0.3253
200508,-1.22,0,0.002748324,12.6,11.78,64.39585876,17.1833,7.62,73.23645718,0.43,0.004487106,0.2773
200509,0.49,0,-0.018842965,11.92,11.69,91.40605927,15.0906,5.88,61.90963966,0.6,0.005540892,0.2844
200510,-2.02,0,0.012533549,15.32,13.65,76.16368103,15.2108,6.98,66.16274743,0.37,0.010367812,0.2452
200511,3.61,0,0.010085416,12.06,11.78,72.21598816,13.5147,6.32,61.23978227,0.56,0.00498586,0.209
200512,-0.25,0,0.00618191,12.07,11.77,78.04892731,14.158,6.28,59.12345356,0.55,0.004955467,0.0607
200601,3.04,0,0.001178181,12.95,12.19,79.17534637,17.6113,8.57,70.11295902,0.31,0,0.0805
200602,-0.3,0,4.16E-05,12.34,11.84,72.69299316,12.6429,5.81,73.59896393,0.31,0,-0.0594
200603,1.46,0,0.002057903,11.39,11.12,64.22933197,13.7249,6.44,64.69869617,0.48,0,0.1069
200604,0.73,0,0.004002836,11.59,10.79,79.76152802,14.3594,6.28,76.17982768,0.48,0,0.2757
200605,-3.57,0,-0.001006591,16.44,15.59,70.83625793,17.6127,7.69,74.5742632,0.5,0.017426844,0.169
200606,-0.35,0,0.003834967,13.08,12.44,79.49433136,17.3766,7.13,85.27514799,0.61,0.010592049,0.0403
200607,-0.78,0,-0.000366844,14.95,13.77,80.56230927,18.6121,8.47,139.3597757,0.5,0.016295173,0.0775
200608,2.03,0,0.003924327,12.31,11.31,72.76996613,17.9247,7.86,170.3629068,0.48,0.005580675,0.0428
200609,1.84,0,-0.002029758,11.98,11.35,67.0675354,13.8006,6.51,93.85937018,0.6,0.005866014,0.0163
200610,3.23,0,-0.000572011,11.1,10.41,63.46446609,14.6356,6.63,88.1792558,0.42,0,-0.0149
200611,1.71,0,-0.000960617,10.91,10.36,62.51984406,12.128,6.15,69.25211022,0.47,0,-0.0722
200612,0.87,0,0.010345559,11.56,11.25,63.3704071,15.5657,7.18,70.31186285,0.47,0.003827104,-0.0294
200701,1.4,0,-0.005215013,10.42,10.14,79.01966858,14.4793,6.98,84.18569208,0.37,0,-0.0221
200702,-1.96,0,0.010029222,15.42,15.93,57.20262146,15.2421,6.72,83.91353753,0.34,0.009401667,0.0081
200703,0.68,0,0.002177747,14.64,14.41,69.88729095,26.0179,12.27,65.69905474,0.45,0.011949817,0.1284
200704,3.49,0,0.007004665,14.22,13.34,62.50170135,18.7486,9.25,67.75070971,0.57,0.006696164,0.1043
200705,3.24,0,0.000486093,13.05,12.76,74.68186951,16.4051,8.22,95.400585,0.76,0.005454144,0.0479
200706,-1.96,0,0.00028217,16.23,16.69,73.29653931,18.9188,9.04,72.7249284,0.68,0.018247211,0.2224
200707,-3.73,0,-0.000373055,23.52,25.18,59.32397842,25.2119,10.73,115.6704717,0.54,0.054590702,0.3238
200708,0.92,0,0.002225745,23.38,23.58,89.10404968,40.3052,18.53,62.69968799,1.71,0.065749699,0.5142
200709,3.22,0,0.003863442,18,18.18,100.7443771,25.3238,11.47,52.74480305,1.51,0.042306884,0.7552
200710,1.8,0,-0.004231032,18.53,18.34,89.45452881,22.7478,10.18,105.168376,1.05,0.062641951,0.6941
200711,-4.83,0,0.005871927,22.87,24.81,102.4411087,23.4679,9.54,82.49855293,2.05,0.102389997,1.1772
200712,-0.87,1,0.000112968,22.5,23.19,108.5438004,26.1266,12.03,82.55678765,1.41,0.095414666,1.2556
200801,-6.36,1,-0.002697623,26.2,28.33,144.984726,34.5524,16.81,69.31097606,1.19,0.101790696,1.811
200802,-3.09,1,-0.003360806,26.54,28.9,108.1046906,23.8292,10.87,69.93859727,1.25,0.117042183,2.2623
200803,-0.93,1,-0.002369354,25.61,26.49,111.7123566,28.7917,15.18,66.77883367,1.33,0.106705322,2.2195
200804,4.6,1,-0.007602904,20.79,21.16,102.196907,22.1916,11.39,53.92398078,1.44,0.064813046,1.8643
200805,1.86,1,-0.005650134,17.83,18.57,94.28403473,18.9287,8.34,47.06322479,0.83,0.063125427,1.7728
200806,-8.44,1,-0.002348363,23.95,24.59,94.55675507,18.2496,8,70.65012005,0.91,0.092343617,1.6582
200807,-0.77,1,-0.005306511,22.94,24.67,109.7889709,27.8947,14.16,73.62653581,1.14,0.077855677,1.7777
200808,1.53,1,-0.015415344,20.65,22.59,95.87075806,18.81,8.6,98.36409385,1.12,0.073089459,1.7681
200809,-9.24,1,-0.044336616,39.39,44.51,187.7403107,55.9658,29.66,67.28245607,3.15,0.164392324,2.2514
200810,-17.23,1,0.009466644,59.89,61.38,189.9172821,69.835,32.51,57.43545882,2.59,0.409878465,3.4251
200811,-7.86,1,-0.012648111,55.28,59.81,148.8425751,36.6702,18.01,56.32072463,2.21,0.424706865,2.8571
200812,1.74,1,-0.029671623,40,40.4,145.9946747,29.5173,14.15,74.36179329,1.32,0.28982892,2.3078
200901,-8.12,1,-0.024037266,44.84,45.85,171.946228,31.1634,14.69,74.15621081,0.94,0.31237967,2.7623
200902,-10.1,1,-0.00646989,46.35,49.08,187.1140289,33.2375,16.06,44.4431666,1,0.313874537,2.7334
200903,8.95,1,-0.015983294,44.14,44.4,166.9033813,34.0597,16.8,57.46934606,0.98,0.29199272,2.3796
200904,10.18,1,-0.008012603,36.5,37.22,131.8561249,24.7524,11.44,63.69598962,0.88,0.216112022,2.3202
200905,5.21,1,-0.010130913,28.92,29.62,138.8058472,24.9752,12.9,62.07012265,0.52,0.15541268,2.7144
200906,0.43,1,-0.003911984,26.35,24.79,130.9334869,22.3826,9.95,42.7663017,0.4,0.13037056,3.0858
200907,7.72,0,0.010943164,25.92,25.59,126.2821503,20.3655,8.3,63.11766947,0.3,0.119924052,2.9278
200908,3.33,0,0.011146038,26.01,23.81,152.5500946,19.7681,7.83,53.50832232,0.2,0.128757167,2.8513
200909,4.08,0,0.007538438,25.61,24.58,145.4443665,18.5662,7.7,63.6815371,0.15,0.106269134,2.8909
200910,-2.59,0,0.003195821,30.69,28.89,138.1305542,19.0593,8.66,60.83229519,0.23,0.129233063,2.7885
200911,5.56,0,0.003968567,24.51,22.35,116.1623154,19.3649,8.18,57.47143352,0.2,0.10693393,2.8894
200912,2.75,0,0.003047241,21.68,19.87,121.2210236,14.9086,7.42,86.20662681,0.19,0.086793554,2.9268
201001,-3.36,0,0.011532002,24.62,24.46,149.3592834,22.0811,10.56,97.51997264,0.17,0.092113847,3.0408
201002,3.4,0,0.003591458,19.5,19.16,132.798645,18.1954,8.42,59.4963595,0.12,0.067321146,3.1361
201003,6.31,0,0.006558225,17.59,16.04,137.4700165,17.0073,7.91,44.6223303,0.13,0.051199236,3.1509
201004,2,0,0.003711275,22.05,20.98,137.0773926,20.616,9.63,55.61136347,0.19,0.083817613,3.119
201005,-7.89,0,0.014485151,32.07,30.83,151.1034241,26.7684,12.96,63.9965105,0.38,0.162461447,2.9844
201006,-5.57,0,0.001483527,34.54,33.57,140.5691528,21.0788,10.53,54.61921194,0.35,0.202666585,2.8193
201007,6.93,0,0.004373115,23.5,23.03,180.0144501,21.9135,10.29,56.54220561,0.3,0.117906793,2.6315
201008,-4.77,0,0.003065291,26.05,26.58,147.3090973,16.9035,7.5,43.87120185,0.16,0.146035057,2.6688
201009,9.54,0,0.002298061,23.7,22.4,182.146698,17.1993,8.4,63.94401387,0.13,0.115001424,2.2143
201010,3.88,0,-0.002654424,21.2,21.33,163.4249115,17.021,8.09,68.9960281,0.17,0.080015403,2.3422
201011,0.6,0,0.000288043,23.54,23.22,179.1355743,17.1179,8.2,79.51126838,0.13,0.099783319,2.555
201012,6.82,0,0.009640333,17.75,17.29,165.4078522,14.1041,7.19,72.64531769,0.18,0.066251546,2.5833
201101,1.99,0,-0.001286483,19.53,17,142.1704559,18.0382,9.5,55.95011216,0.15,0.052267641,2.9492
201102,3.49,0,-0.004397981,18.35,16.54,145.5088959,13.2577,6.32,71.96963547,0.16,0.053643368,3.095
201103,0.46,0,0.009885501,17.74,16.45,174.3543701,18.4433,7.97,124.4235607,0.21,0.05244866,2.9767
201104,2.9,0,-0.003589106,14.75,14.06,157.4958954,16.5691,8.76,63.11444812,0.23,0.037517435,2.9206
201105,-1.27,0,0.002275841,15.45,14.54,126.19207,14.9139,6.76,73.7152622,0.19,0.037743506,2.9719
201106,-1.75,0,0.002878422,16.52,15.28,158.088623,18.8427,9.71,58.54622517,0.22,0.046564849,2.8281
201107,-2.35,0,0.005303902,25.25,25.94,197.9163513,25.2762,13.44,41.90881882,0.16,0.07807263,2.9492
201108,-5.99,0,0.005584137,31.62,31.42,245.1267242,60.8711,29.75,40.50620005,0.31,0.153764924,2.6796
201109,-7.59,0,-0.000242676,42.96,44.11,204.6297913,28.1043,13.67,45.35359924,0.35,0.249365495,2.2055
201110,11.35,0,0.006866328,29.96,28.31,159.7395782,29.6904,14.7,48.77197494,0.42,0.139260478,1.7753
201111,-0.28,0,-0.000802786,27.8,27.24,166.3390198,22.2876,10.49,63.17506741,0.52,0.150643398,2.0609
201112,0.74,0,0.005525036,23.4,22.98,189.3983612,23.1716,10.93,45.31538482,0.56,0.117392295,1.9587
201201,5.05,0,0.006104567,19.44,18.3,178.2865295,21.8784,10.54,57.87297351,0.48,0.074319421,1.7418
201202,4.42,0,0.002289301,18.43,16.11,149.637085,18.2933,9.64,70.52663753,0.4,0.072048036,1.713
201203,3.11,0,-0.004680668,15.5,14.66,137.5531158,16.0979,7.74,77.71589452,0.4,0.045450433,1.7625
201204,-0.85,0,0.007490401,17.15,16.05,136.5966949,15.3554,8.51,57.4907306,0.37,0.051582812,1.9929
201205,-6.19,0,0.001918068,24.06,23.06,158.5619659,22.2606,11.27,55.74762346,0.4,0.11033639,1.7619
201206,3.89,0,-0.000195838,17.08,16.54,194.6105804,22.6557,10.16,43.29140303,0.37,0.059821239,1.3348
201207,0.79,0,0.002620653,18.93,18.19,184.8796997,19.9215,9.9,55.84563978,0.33,0.062935327,1.3859
201208,2.55,0,-0.004789426,17.47,16.32,152.3534546,16.6146,8.52,47.8164888,0.33,0.061787697,1.3397
201209,2.73,0,0.000489585,15.73,14.57,175.2770538,16.1116,8.85,61.98211147,0.26,0.038014671,1.3981
201210,-1.76,0,0.002117772,18.6,18.6,165.9444885,17.1206,8.29,65.65521991,0.2,0.045361623,1.4553
201211,0.78,0,0.004806806,15.87,16.15,187.4906464,15.5074,9.09,56.7290511,0.23,0.031035757,1.473
201212,1.18,0,0.003523637,18.02,18.53,192.8251648,16.368,10.21,53.55041749,0.26,0.043450873,1.4074
201301,5.57,0,-0.001326233,14.28,13.99,157.5333099,17.5705,10.11,83.92839962,0.23,0.018437116,1.5652
201302,1.29,0,0.005727444,15.51,14.76,114.6541138,18.7503,8.79,63.88709343,0.18,0.021421096,1.8141
201303,4.03,0,0.004053922,12.7,12.04,124.9408112,17.9135,9.23,77.17597039,0.21,0.01444107,1.6792
201304,1.55,0,-0.001720343,13.52,12.54,118.7104797,15.7931,8.42,99.3867399,0.22,0.012690668,1.5351
201305,2.8,0,0.001093498,16.3,15.82,104.3045502,15.0091,6.92,66.16537619,0.24,0.027096629,1.9279
201306,-1.2,0,0.002035322,16.86,17.24,114.616127,16.8881,8.47,66.9416781,0.23,0.03942258,2.2524
201307,5.65,0,-0.004270795,13.45,13.28,94.03990936,15.0438,6.17,42.01158153,0.23,0.015503199,2.4204
201308,-2.71,0,0.006580912,17.01,17.62,102.7706757,13.4049,6.74,99.41756487,0.23,0.034693066,2.5063
201309,3.77,0,0.005136958,16.6,15.97,144.4017792,19.1477,9.52,142.6310108,0.23,0.025857857,2.4415
201310,4.18,0,-0.00175295,13.75,12.54,171.0222473,19.5106,10.68,59.16910132,0.2,0.015681128,2.3897
201311,3.13,0,0.002929278,13.7,12.71,89.90614319,15.2641,8.3,61.48138784,0.18,0.013853638,2.6356
201312,2.81,0,0.003034155,13.72,12.25,104.6021194,15.087,7.86,63.21827155,0.18,0.014097374,2.8144
201401,-3.32,0,-0.004165701,18.41,17.44,93.50074005,15.2577,8.48,59.41008678,0.22,0.033460472,2.4744
201402,4.65,0,0.008434795,14,12.93,88.9853363,11.6177,6.17,57.64288741,0.19,0.017262707,2.4577
201403,0.43,0,0.009580217,13.88,12.55,93.46759796,15.1868,6.98,147.7466722,0.18,0.015295194,2.4207
201404,-0.19,0,0.000460746,13.41,12.33,91.1180191,18.0593,8.42,89.73487441,0.19,0.012391678,2.3645
201405,2.06,0,0.003606928,11.4,10.56,90.39224243,13.7422,6.34,79.57202721,0.19,0.007588238,2.1978
201406,2.61,0,0.003734382,11.57,9.54,81.00762177,11.8389,5.86,105.3107605,0.19,0.003203827,2.1803
201407,-2.04,0,0.001967551,16.95,16.09,76.64490509,14.0554,4.99,148.752288,0.21,0.022796919,2.1271
201408,4.24,0,-0.001109352,11.98,10.87,71.262146,14.3469,5.83,200.8244905,0.2,0.010484394,1.9165
201409,-1.97,0,0.002983263,16.31,14.77,84.33692169,11.1862,5.77,220.398429,0.22,0.029083835,1.9982
201410,2.52,0,0.000206946,14.03,13.73,100.2066498,21.9332,9.41,133.1168982,0.22,0.023942048,1.9197
201411,2.55,0,0.00779019,13.33,12.71,88.56003571,13.895,6.21,102.182744,0.21,0.022644673,1.7765
201412,-0.06,0,-0.001453287,19.2,16.27,85.1875,14.2914,6.16,88.0638794,0.22,0.044884485,1.5368
201501,-3.11,0,-0.004968736,20.97,20.97,117.1606216,23.3353,10.02,128.8539393,0.23,0.062224181,1.2856
201502,6.13,0,-0.005090278,13.34,13.28,100.3197403,14.0752,5.4,119.5912427,0.24,0.029494089,1.4346
201503,-1.12,0,-0.002812116,15.29,16.05,105.2181473,12.3786,4.65,96.31963531,0.24,0.034721453,1.4375
201504,0.59,0,-0.00590634,14.55,15.17,109.6437912,14.472,7.3,101.2982116,0.27,0.028492991,1.5352
201505,1.36,0,-0.004343218,13.84,14.46,101.0189514,11.7735,5.17,86.28045586,0.27,0.020825244,1.6006
201506,-1.53,0,-0.003434213,18.23,18.23,108.9527969,14.927,8.15,79.37568351,0.27,0.035883096,1.7923
201507,1.54,0,0.005834424,12.12,12.4,98.91843414,23.8556,11.11,104.6724077,0.23,0.016173767,1.5912
201508,-6.04,0,-0.001555977,28.43,26.48,129.6953125,31.4782,11.87,87.27613997,0.27,0.092544662,1.5351
